"date","account","category","amount","currency","converted.amount","currency.1","description"
"13/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"13/01/2016","Expense Account 1","Commuting","-53","INR","-53","INR",""
"14/01/2016","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"14/01/2016","Expense Account 1","Commuting","-28","INR","-28","INR",""
"15/01/2016","Expense Account 1","Entertainment","-580","INR","-580","INR",""
"15/01/2016","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"15/01/2016","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"15/01/2016","Expense Account 1","Entertainment","-60","INR","-60","INR",""
"16/01/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"17/01/2016","Expense Account 1","Entertainment","-230","INR","-230","INR",""
"17/01/2016","Expense Account 1","Miscellaneous","-71","INR","-71","INR",""
"17/01/2016","Expense Account 1","Miscellaneous","-30","INR","-30","INR",""
"18/01/2016","Expense Account 1","Home Food","-299","INR","-299","INR",""
"18/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"18/01/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"18/01/2016","Expense Account 1","Miscellaneous","-48","INR","-48","INR",""
"19/01/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"19/01/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"19/01/2016","Expense Account 1","Miscellaneous","-60","INR","-60","INR",""
"20/01/2016","Expense Account 1","Miscellaneous","-170","INR","-170","INR",""
"20/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"20/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"21/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"21/01/2016","Expense Account 1","Home Food","-700","INR","-700","INR",""
"21/01/2016","Expense Account 1","Miscellaneous","-19","INR","-19","INR",""
"21/01/2016","Expense Account 1","Miscellaneous","-141","INR","-141","INR",""
"21/01/2016","Expense Account 1","Commuting","-60","INR","-60","INR",""
"22/01/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"22/01/2016","Expense Account 1","Entertainment","-410","INR","-410","INR",""
"22/01/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"22/01/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"22/01/2016","Expense Account 1","Commuting","-17","INR","-17","INR",""
"22/01/2016","Expense Account 1","Miscellaneous","-400","INR","-400","INR",""
"23/01/2016","Expense Account 1","Miscellaneous","-31","INR","-31","INR",""
"24/01/2016","Expense Account 1","Miscellaneous","-300","INR","-300","INR",""
"26/01/2016","Expense Account 1","Miscellaneous","-830","INR","-830","INR",""
"26/01/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"26/01/2016","Expense Account 1","Miscellaneous","-160","INR","-160","INR",""
"26/01/2016","Expense Account 1","Clothes","-1,079","INR","-1,079","INR",""
"27/01/2016","Expense Account 1","Commuting","-10","INR","-10","INR",""
"27/01/2016","Expense Account 1","Commuting","-7","INR","-7","INR",""
"28/01/2016","Expense Account 1","Commuting","-22","INR","-22","INR",""
"29/01/2016","Expense Account 1","Commuting","-127","INR","-127","INR",""
"29/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"29/01/2016","Expense Account 1","Entertainment","-45","INR","-45","INR",""
"29/01/2016","Expense Account 1","Commuting","-19","INR","-19","INR",""
"30/01/2016","Expense Account 1","Home Food","-30","INR","-30","INR",""
"31/01/2016","Expense Account 1","Entertainment","-860","INR","-860","INR",""
"31/01/2016","Expense Account 1","Miscellaneous","-808","INR","-808","INR",""
"31/01/2016","Expense Account 1","Home Food","-141","INR","-141","INR",""
"01/02/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"01/02/2016","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"01/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"02/02/2016","Expense Account 1","Miscellaneous","-64","INR","-64","INR",""
"02/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"02/02/2016","Expense Account 1","Miscellaneous","-129","INR","-129","INR",""
"03/02/2016","Expense Account 1","Entertainment","-44","INR","-44","INR",""
"03/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"04/02/2016","Expense Account 1","Commuting","-58","INR","-58","INR",""
"04/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"04/02/2016","Expense Account 1","Commuting","-12","INR","-12","INR",""
"05/02/2016","Expense Account 1","Entertainment","-480","INR","-480","INR",""
"05/02/2016","Expense Account 1","Home Food","-29","INR","-29","INR",""
"07/02/2016","Expense Account 1","Entertainment","-66","INR","-66","INR",""
"07/02/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"07/02/2016","Expense Account 1","Home Food","-30","INR","-30","INR",""
"07/02/2016","Expense Account 1","Entertainment","-54","INR","-54","INR",""
"07/02/2016","Expense Account 1","Miscellaneous","-72","INR","-72","INR",""
"08/02/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"09/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"09/02/2016","Expense Account 1","Miscellaneous","-92","INR","-92","INR",""
"09/02/2016","Expense Account 1","Commuting","-54","INR","-54","INR",""
"10/02/2016","Expense Account 1","Entertainment","-33","INR","-33","INR",""
"10/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"10/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"10/02/2016","Expense Account 1","Miscellaneous","-30","INR","-30","INR",""
"10/02/2016","Expense Account 1","Miscellaneous","-1,340","INR","-1,340","INR",""
"10/02/2016","Expense Account 1","Home Food","-250","INR","-250","INR",""
"11/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"11/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"12/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"12/02/2016","Expense Account 1","Commuting","-24","INR","-24","INR",""
"12/02/2016","Expense Account 1","Entertainment","-60","INR","-60","INR",""
"14/02/2016","Expense Account 1","Entertainment","-2,317","INR","-2,317","INR",""
"14/02/2016","Expense Account 1","Entertainment","-11","INR","-11","INR",""
"14/02/2016","Expense Account 1","Home Food","-27","INR","-27","INR",""
"14/02/2016","Expense Account 1","Miscellaneous","-10","INR","-10","INR",""
"14/02/2016","Expense Account 1","Home Food","-250","INR","-250","INR",""
"14/02/2016","Expense Account 1","Miscellaneous","-125","INR","-125","INR",""
"15/02/2016","Expense Account 1","Commuting","-22","INR","-22","INR",""
"15/02/2016","Expense Account 1","Commuting","-100","INR","-100","INR",""
"16/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"16/02/2016","Expense Account 1","Miscellaneous","-80","INR","-80","INR",""
"16/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"17/02/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"17/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"18/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"18/02/2016","Expense Account 1","Commuting","-55","INR","-55","INR",""
"19/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"19/02/2016","Expense Account 1","Commuting","-50","INR","-50","INR",""
"20/02/2016","Expense Account 1","Home Food","-24","INR","-24","INR",""
"21/02/2016","Expense Account 1","Home Food","-457","INR","-457","INR",""
"21/02/2016","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"21/02/2016","Expense Account 1","Entertainment","-120","INR","-120","INR",""
"21/02/2016","Expense Account 1","Miscellaneous","-250","INR","-250","INR",""
"21/02/2016","Expense Account 1","Miscellaneous","-206","INR","-206","INR",""
"21/02/2016","Expense Account 1","Entertainment","-1,100","INR","-1,100","INR",""
"23/02/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"23/02/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"23/02/2016","Expense Account 1","Commuting","-32","INR","-32","INR",""
"23/02/2016","Expense Account 1","Miscellaneous","-10","INR","-10","INR",""
"23/02/2016","Expense Account 1","Home Food","-500","INR","-500","INR",""
"23/02/2016","Expense Account 1","Miscellaneous","-1,705","INR","-1,705","INR",""
"24/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"24/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"25/02/2016","Expense Account 1","Home Food","-50","INR","-50","INR",""
"25/02/2016","Expense Account 1","Home Food","-20","INR","-20","INR",""
"25/02/2016","Expense Account 1","Home Food","-20","INR","-20","INR",""
"25/02/2016","Expense Account 1","Commuting","-82","INR","-82","INR",""
"25/02/2016","Expense Account 1","Miscellaneous","-1,120","INR","-1,120","INR",""
"25/02/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"25/02/2016","Expense Account 1","Entertainment","-540","INR","-540","INR",""
"25/02/2016","Expense Account 1","Entertainment","-95","INR","-95","INR",""
"26/02/2016","Expense Account 1","Commuting","-85","INR","-85","INR",""
"26/02/2016","Expense Account 1","Commuting","-17","INR","-17","INR",""
"26/02/2016","Expense Account 1","Commuting","-130","INR","-130","INR",""
"27/02/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"28/02/2016","Expense Account 1","Entertainment","-1,825","INR","-1,825","INR",""
"29/02/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"29/02/2016","Expense Account 1","Entertainment","-72","INR","-72","INR",""
"29/02/2016","Expense Account 1","Miscellaneous","-10","INR","-10","INR",""
"01/03/2016","Expense Account 2","Miscellaneous","-1,03,000","INR","-1,03,000","INR",""
"01/03/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"01/03/2016","Expense Account 1","Commuting","-10","INR","-10","INR",""
"02/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"02/03/2016","Expense Account 1","Miscellaneous","-343","INR","-343","INR",""
"02/03/2016","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"03/03/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"04/03/2016","Expense Account 1","Entertainment","-312","INR","-312","INR",""
"04/03/2016","Expense Account 1","Commuting","-40","INR","-40","INR",""
"04/03/2016","Expense Account 1","Commuting","-17","INR","-17","INR",""
"05/03/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"05/03/2016","Expense Account 1","Miscellaneous","-35","INR","-35","INR",""
"07/03/2016","Expense Account 1","Commuting","-25","INR","-25","INR",""
"07/03/2016","Expense Account 1","Miscellaneous","-449","INR","-449","INR",""
"07/03/2016","Expense Account 1","Entertainment","-48","INR","-48","INR",""
"08/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"08/03/2016","Expense Account 1","Commuting","-51","INR","-51","INR",""
"09/03/2016","Expense Account 1","Miscellaneous","-70","INR","-70","INR",""
"09/03/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"09/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"10/03/2016","Expense Account 1","Commuting","-6","INR","-6","INR",""
"10/03/2016","Expense Account 1","Miscellaneous","-170","INR","-170","INR",""
"10/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"10/03/2016","Expense Account 1","Miscellaneous","-75","INR","-75","INR",""
"11/03/2016","Expense Account 1","Entertainment","-166","INR","-166","INR",""
"11/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"11/03/2016","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"11/03/2016","Expense Account 1","Entertainment","-250","INR","-250","INR",""
"12/03/2016","Expense Account 1","Entertainment","-47","INR","-47","INR",""
"12/03/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"12/03/2016","Expense Account 1","Miscellaneous","-120","INR","-120","INR",""
"12/03/2016","Expense Account 1","Entertainment","-1,067","INR","-1,067","INR",""
"13/03/2016","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"13/03/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"13/03/2016","Expense Account 1","Miscellaneous","-90","INR","-90","INR",""
"14/03/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"14/03/2016","Expense Account 1","Miscellaneous","-143","INR","-143","INR",""
"14/03/2016","Expense Account 1","Home Food","-500","INR","-500","INR",""
"15/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"15/03/2016","Expense Account 1","Miscellaneous","-153","INR","-153","INR",""
"15/03/2016","Expense Account 1","Miscellaneous","-166","INR","-166","INR",""
"15/03/2016","Expense Account 1","Commuting","-51","INR","-51","INR",""
"16/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"16/03/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"17/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"17/03/2016","Expense Account 1","Miscellaneous","-30","INR","-30","INR",""
"17/03/2016","Expense Account 1","Entertainment","-860","INR","-860","INR",""
"17/03/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"22/03/2016","Expense Account 1","Entertainment","-280","INR","-280","INR",""
"22/03/2016","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"22/03/2016","Expense Account 1","Miscellaneous","-50","INR","-50","INR",""
"22/03/2016","Expense Account 1","Clothes","-350","INR","-350","INR",""
"22/03/2016","Expense Account 1","Entertainment","-250","INR","-250","INR",""
"22/03/2016","Expense Account 1","Entertainment","-3,500","INR","-3,500","INR",""
"24/03/2016","Expense Account 1","Commuting","-39","INR","-39","INR",""
"24/03/2016","Expense Account 1","Miscellaneous","-162","INR","-162","INR",""
"26/03/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"26/03/2016","Expense Account 1","Entertainment","-320","INR","-320","INR",""
"27/03/2016","Expense Account 1","Entertainment","-56","INR","-56","INR",""
"28/03/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"28/03/2016","Expense Account 1","Miscellaneous","-350","INR","-350","INR",""
"28/03/2016","Expense Account 1","Home Food","-250","INR","-250","INR",""
"29/03/2016","Expense Account 1","Commuting","-24","INR","-24","INR",""
"30/03/2016","Expense Account 1","Miscellaneous","-155","INR","-155","INR",""
"30/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"31/03/2016","Expense Account 1","Miscellaneous","-43","INR","-43","INR",""
"31/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"31/03/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"31/03/2016","Expense Account 1","Miscellaneous","-125","INR","-125","INR",""
"01/04/2016","Expense Account 1","Commuting","-28","INR","-28","INR",""
"01/04/2016","Expense Account 1","Miscellaneous","-50","INR","-50","INR",""
"04/04/2016","Expense Account 1","Commuting","-16","INR","-16","INR",""
"04/04/2016","Expense Account 1","Entertainment","-1,800","INR","-1,800","INR",""
"05/04/2016","Expense Account 1","Entertainment","-285","INR","-285","INR",""
"05/04/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"05/04/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"05/04/2016","Expense Account 1","Miscellaneous","-445","INR","-445","INR",""
"06/04/2016","Expense Account 1","Home Food","-68","INR","-68","INR",""
"06/04/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"07/04/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"08/04/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"08/04/2016","Expense Account 1","Miscellaneous","-300","INR","-300","INR",""
"09/04/2016","Expense Account 1","Miscellaneous","-90","INR","-90","INR",""
"09/04/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"10/04/2016","Expense Account 1","Miscellaneous","-200","INR","-200","INR",""
"10/04/2016","Expense Account 1","Entertainment","-450","INR","-450","INR",""
"11/04/2016","Expense Account 1","Commuting","-23","INR","-23","INR",""
"12/04/2016","Expense Account 1","Miscellaneous","-154","INR","-154","INR",""
"12/04/2016","Expense Account 1","Commuting","-22","INR","-22","INR",""
"13/04/2016","Expense Account 1","Entertainment","-883","INR","-883","INR",""
"14/04/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"14/04/2016","Expense Account 1","Commuting","-11","INR","-11","INR",""
"14/04/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"14/04/2016","Expense Account 1","Miscellaneous","-20","INR","-20","INR",""
"15/04/2016","Expense Account 1","Miscellaneous","-10","INR","-10","INR",""
"15/04/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"15/04/2016","Expense Account 1","Entertainment","-900","INR","-900","INR",""
"18/04/2016","Expense Account 1","Entertainment","-30","INR","-30","INR",""
"19/04/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"19/04/2016","Expense Account 1","Entertainment","-1,161","INR","-1,161","INR",""
"19/04/2016","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"20/04/2016","Expense Account 1","Commuting","-30","INR","-30","INR",""
"21/04/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"21/04/2016","Expense Account 1","Miscellaneous","-200","INR","-200","INR",""
"22/04/2016","Expense Account 1","Commuting","-19","INR","-19","INR",""
"28/04/2016","Expense Account 1","Miscellaneous","-25","INR","-25","INR",""
"28/04/2016","Expense Account 1","Commuting","-80","INR","-80","INR",""
"29/04/2016","Expense Account 1","Commuting","-39","INR","-39","INR",""
"29/04/2016","Expense Account 1","Home Food","-80","INR","-80","INR",""
"29/04/2016","Expense Account 1","Entertainment","-183","INR","-183","INR",""
"29/04/2016","Expense Account 1","Entertainment","-130","INR","-130","INR",""
"29/04/2016","Expense Account 1","Miscellaneous","-53","INR","-53","INR",""
"29/04/2016","Expense Account 1","Entertainment","-250","INR","-250","INR",""
"29/04/2016","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"30/04/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"30/04/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"30/04/2016","Expense Account 1","Miscellaneous","-200","INR","-200","INR",""
"30/04/2016","Expense Account 1","Entertainment","-300","INR","-300","INR",""
"02/05/2016","Expense Account 1","Miscellaneous","-30","INR","-30","INR",""
"02/05/2016","Expense Account 1","Miscellaneous","-338","INR","-338","INR",""
"02/05/2016","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"02/05/2016","Expense Account 1","Home Food","-55","INR","-55","INR",""
"03/05/2016","Expense Account 1","Miscellaneous","-300","INR","-300","INR",""
"03/05/2016","Expense Account 1","Commuting","-28","INR","-28","INR",""
"03/05/2016","Expense Account 1","Commuting","-5","INR","-5","INR",""
"04/05/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"04/05/2016","Expense Account 1","Miscellaneous","-410","INR","-410","INR",""
"05/05/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"05/05/2016","Expense Account 1","Miscellaneous","-220","INR","-220","INR",""
"05/05/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"06/05/2016","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"06/05/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"06/05/2016","Expense Account 1","Entertainment","-125","INR","-125","INR",""
"06/05/2016","Expense Account 1","Entertainment","-200","INR","-200","INR",""
"06/05/2016","Expense Account 1","Miscellaneous","-70","INR","-70","INR",""
"07/05/2016","Expense Account 1","Miscellaneous","-280","INR","-280","INR",""
"07/05/2016","Expense Account 1","Miscellaneous","-73","INR","-73","INR",""
"07/05/2016","Expense Account 1","Miscellaneous","-166","INR","-166","INR",""
"07/05/2016","Expense Account 1","Miscellaneous","-190","INR","-190","INR",""
"08/05/2016","Expense Account 1","Home Food","-50","INR","-50","INR",""
"08/05/2016","Expense Account 1","Miscellaneous","-350","INR","-350","INR","gift"
"08/05/2016","Expense Account 1","Miscellaneous","-1,099","INR","-1,099","INR",""
"09/05/2016","Expense Account 1","Commuting","-113","INR","-113","INR",""
"09/05/2016","Expense Account 1","Entertainment","-226","INR","-226","INR",""
"09/05/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"09/05/2016","Expense Account 1","Home Food","-136","INR","-136","INR",""
"10/05/2016","Expense Account 1","Commuting","-23","INR","-23","INR",""
"10/05/2016","Expense Account 1","Commuting","-7","INR","-7","INR",""
"11/05/2016","Expense Account 1","Home Food","-33","INR","-33","INR",""
"11/05/2016","Expense Account 1","Home Food","-330","INR","-330","INR",""
"11/05/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"11/05/2016","Expense Account 1","Home Food","-165","INR","-165","INR",""
"12/05/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"12/05/2016","Expense Account 1","Miscellaneous","-480","INR","-480","INR",""
"12/05/2016","Expense Account 1","Home Food","-210","INR","-210","INR",""
"13/05/2016","Expense Account 1","Commuting","-187","INR","-187","INR",""
"13/05/2016","Expense Account 1","Miscellaneous","-300","INR","-300","INR",""
"13/05/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"13/05/2016","Expense Account 1","Miscellaneous","-180","INR","-180","INR",""
"14/05/2016","Expense Account 1","Entertainment","-3,000","INR","-3,000","INR",""
"15/05/2016","Expense Account 1","Entertainment","-1,500","INR","-1,500","INR",""
"17/05/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"18/05/2016","Expense Account 1","Miscellaneous","-515","INR","-515","INR",""
"18/05/2016","Expense Account 1","Entertainment","-117","INR","-117","INR",""
"18/05/2016","Expense Account 1","Commuting","-45","INR","-45","INR",""
"18/05/2016","Expense Account 1","Home Food","-369","INR","-369","INR",""
"19/05/2016","Expense Account 1","Commuting","-80","INR","-80","INR",""
"21/05/2016","Expense Account 1","Entertainment","-216","INR","-216","INR",""
"21/05/2016","Expense Account 1","Home Food","-325","INR","-325","INR",""
"22/05/2016","Expense Account 1","Miscellaneous","-800","INR","-800","INR",""
"22/05/2016","Expense Account 1","Entertainment","-677","INR","-677","INR",""
"23/05/2016","Expense Account 1","Commuting","-16","INR","-16","INR",""
"23/05/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"24/05/2016","Expense Account 1","Entertainment","-700","INR","-700","INR",""
"24/05/2016","Expense Account 1","Miscellaneous","-66","INR","-66","INR",""
"24/05/2016","Expense Account 1","Home Food","-80","INR","-80","INR",""
"25/05/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"25/05/2016","Expense Account 1","Commuting","-39","INR","-39","INR",""
"26/05/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"27/05/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"27/05/2016","Expense Account 1","Entertainment","-40","INR","-40","INR",""
"27/05/2016","Expense Account 1","Commuting","-16","INR","-16","INR",""
"28/05/2016","Expense Account 1","Entertainment","-120","INR","-120","INR",""
"28/05/2016","Expense Account 1","Entertainment","-615","INR","-615","INR",""
"29/05/2016","Expense Account 1","Miscellaneous","-266","INR","-266","INR",""
"30/05/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"30/05/2016","Expense Account 1","Home Food","-91","INR","-91","INR",""
"31/05/2016","Expense Account 1","Entertainment","-46","INR","-46","INR",""
"31/05/2016","Expense Account 1","Commuting","-40","INR","-40","INR",""
"01/06/2016","Expense Account 1","Commuting","-30","INR","-30","INR",""
"02/06/2016","Expense Account 1","Entertainment","-300","INR","-300","INR",""
"02/06/2016","Expense Account 1","Home Food","-30","INR","-30","INR",""
"02/06/2016","Expense Account 1","Commuting","-23","INR","-23","INR",""
"02/06/2016","Expense Account 2","Miscellaneous","-12,000","INR","-12,000","INR",""
"02/06/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"02/06/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR","gift"
"03/06/2016","Expense Account 1","Miscellaneous","-550","INR","-550","INR",""
"05/06/2016","Expense Account 1","Entertainment","-680","INR","-680","INR",""
"05/06/2016","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"05/06/2016","Expense Account 1","Home Food","-80","INR","-80","INR",""
